Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1,A-VAQ-TB-003-00760,1,NEWINGTON FOLDING STAIRS LOWER ASSEMBLY,,EA,Nor,M,PAT003,PE,P3E,EA,,Patriot3,
1.1,  A-VAQ-TB-003-00761,1,LOWER STAIR SUBASSEMBLY,,EA,Nor,F,PAT003,PE,P3E,EA,,Patriot3,
1.1.1,    A-WAQ-AB-003-00077,7,FOLDING STAIRS TREAD WELDMENT,,EA,Nor,P,FAB010,3,P3E,EA,WD3077,Fab Tech,
1.1.1.1,      F-DAS-UQ-001-00099,2,STAIR TREAD END PLATE,,EA,Pht,F,FAB010,3,P3E,EA,AS1099,Fab Tech,
1.1.1.2,      F-SAG-UQ-003-00012,1,FOLDING STAIR TREAD,,EA,Pht,F,FAB010,3,P3E,EA,GS3012,Fab Tech,
1.1.2,    A-WAQ-AB-003-00086,1,FOLDING STAIR BOTTOM PLATE WELDMENT,A,EA,Nor,P,FAB010,3,P3E,EA,WD3086,Fab Tech,
1.1.2.1,      F-DAP-UQ-001-00008,2,STAIR BOTTOM PLATE END CAP,,EA,Pht,F,FAB010,3,P3E,EA,AP1008,Fab Tech,
1.1.2.2,      F-SAA-UQ-003-00029,1,STAIR BOTTOM PLATE ANGLE,,EA,Pht,F,FAB010,3,P3E,EA,AA3029,Fab Tech,
1.1.2.3,      F-SAD-UQ-003-00001,1,STAIR BOTTOM DIAMOND PLATE,A,EA,Pht,F,FAB010,3,P3E,EA,AD3001,Fab Tech,
1.1.2.4,      F-SAH-UQ-003-00003,1,STAIR BOTTOM PLATE HINGE,,EA,Pht,F,FAB010,3,P3E,EA,AH3003,Fab Tech,
1.1.3,    A-WAQ-AB-003-00208,1,STAIRS LOWER SIDE ASSY; LH,,EA,Nor,P,FAB010,3,P3E,EA,WD3208,Fab Tech,
1.1.3.1,      F-DAS-UQ-003-00045,1,FOLDING STAIR LOWER SIDE; LH,,EA,Pht,F,FAB010,3,P3E,EA,AS3045,Fab Tech,
1.1.3.2,      F-DAS-UQ-003-00052,1,FOLDING STAIR BOTTOM CAP,,EA,Pht,F,FAB010,3,P3E,EA,AS3052,Fab Tech,
1.1.4,    A-WAQ-AB-003-00209,1,STAIRS LOWER SIDE ASSY; RH,,EA,Nor,P,FAB010,3,P3E,EA,WD3209,Fab Tech,
1.1.4.1,      F-DAS-UQ-003-00046,1,FOLDING STAIR LOWER SIDE; RH,,EA,Pht,F,FAB010,3,P3E,EA,AS3046,Fab Tech,
1.1.4.2,      F-DAS-UQ-003-00052,1,FOLDING STAIR BOTTOM CAP,,EA,Pht,F,FAB010,3,P3E,EA,AS3052,Fab Tech,
1.1.5,    A-WAQ-AB-003-00210,1,STAIRS MALE HINGE ASSY; LH,A,EA,Nor,P,FAB010,3,P3E,EA,WD3210,Fab Tech,
1.1.5.1,      F-DAP-UQ-003-00045,1,FOLDING STAIR MALE HINGE,,EA,Pht,F,FAB010,3,P3E,EA,AP3045,Fab Tech,
