Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1,P3B-XPK-001-0058,1,XPS-G2 LEVEL 4 WING KIT BASIC (FRAME: PANELS),,EA,Nor,M,PAT003,PB,P3B,EA,,Patriot3,
1.1,  P3B-XPC-001-0020,1,XPS-G2 WING FRAMES,,EA,Pht,F,PAT003,PB,P3B,EA,,Patriot3,
1.1.1,    A-WAQ-CB-005-00028,1,XPS-G2 OPENER FRAME,C,EA,Nor,P,FAB010,2,P3B,EA,WD5028,Fab Tech,
1.1.1.1,      F-DAS-UQ-005-00008,1,XPS-G2 OPENER BEARING PLATE,,EA,Pht,F,FAB010,2,P3B,EA,AS5008,Fab Tech,
1.1.1.2,      F-DAT-UQ-005-00050,1,XPS-G2 OPENER FRAME TUBE,C,EA,Pht,F,FAB010,2,P3B,EA,AT5050,Fab Tech,
1.1.2,    A-WAQ-CB-005-00029,1,XPS-G2 OPENER LEVER ASSEMBLY,B,EA,Nor,P,FAB010,2,P3B,EA,WD5029,Fab Tech,
1.1.2.1,      F-DAP-UQ-005-00003,2,XPS-G2 OPENER LEVER TAB,,EA,Pht,F,FAB010,2,P3B,EA,AP5003,Fab Tech,
1.1.2.2,      F-DAT-UQ-005-00051,1,XPS-G2 OPENER LEVER,A,EA,Pht,F,FAB010,2,P3B,EA,AT5051,Fab Tech,
1.1.2.3,      F-SAS-UQ-005-00007,2,XPS-G2 OPENER ARM END CAP,,EA,Pht,F,FAB010,2,P3B,EA,AS5007,Fab Tech,
1.1.3,    A-WAQ-CB-005-00033,1,"18"" UPPER LEFT WING FRAME",A,EA,Nor,P,FAB010,2,P3B,EA,WD5033,Fab Tech,
1.1.3.1,      F-DAP-UQ-005-00003,1,XPS-G2 OPENER LEVER TAB,,EA,Pht,F,FAB010,2,P3B,EA,AP5003,Fab Tech,
1.1.3.2,      F-DAT-UQ-005-00055,1,XPS-G2 UPPER WING OUTER TUBE,A,EA,Pht,F,FAB010,2,P3B,EA,AT5055,Fab Tech,
1.1.3.3,      F-DAT-UQ-005-00056,1,XPS-G2 UPPER LEFT WING INSIDE TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5056,Fab Tech,
1.1.3.4,      F-DAT-UQ-005-00057,1,XPS-G2 UPPER WING TOP TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5057,Fab Tech,
