Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1,P3E-FRC-001-0002,1,FAST ROPE 2013 (MARS),,EA,Nor,M,PAT003,PE,P3E,EA,,Patriot3,
1.1,  A-CFQ-KB-001-00023,2,FAST TOWER CABLE,,EA,Nor,F,PAT003,PE,P3E,EA,CA1023,Patriot3,
1.1.1,    A-CMQ-MQ-001-01325,1,FAST CABLE-CRIMPED,,EA,Nor,P,FAB010,3,P3E,EA,,Fab Tech,
1.1.1.1,      F-OFW-KB-003-00513,1,FAST CABLE,,EA,Pht,F,FAB010,3,P3E,EA,,Fab Tech,55
1.1.1.2,      P-QAQ-UQ-999-00004,2,"Aluminum Oval Compression Sleeve for 1/4"" Cable",,EA,Pht,F,FAB010,3,P3E,EA,3896T6,McMaster-Carr,0.555
1.1.1.3,      P-QAQ-UQ-999-00006,2,"Aluminum Compression Stop Sleeve for 1/4"" Cable",,EA,Pht,F,FAB010,3,P3E,EA,3914T6,McMaster-Carr,0.612
1.1.1.4,      P-QFQ-GQ-999-00005,2,"Galvanized Steel Thimbles for 1/4"" Cable",,EA,Pht,F,FAB010,3,P3E,EA,3494T13,McMaster-Carr,0.7
1.1.2,    P-QFQ-ZZ-999-00007,2,Oval Threaded Connector; 5/16 Dia,,EA,Nor,P,MCM010,5,HWARE,EA,3711T24,McMaster-Carr,6.79
1.2,  A-VAQ-TB-001-00003,2,EAS YOKE ASSEMBLY,,EA,Nor,M,PAT003,PE,P3E,EA,,Patriot3,
1.2.1,    A-WAQ-AB-001-00236,1,EAS YOKE WELDMENT,C,EA,NOR,P,FAB010,3,P3E,EA,WD1236,Fab Tech,
1.2.1.1,      F-DAP-UQ-001-00062,1,EAS YOKE CLEVIS,,EA,PHT,F,FAB010,3,P3E,EA,AP1062,Fab Tech,
1.2.1.2,      F-DAT-UQ-001-00093,1,EAS YOKE MALE PIPE,A,EA,PHT,F,FAB010,3,P3E,EA,AT1093,Fab Tech,
1.2.2,    P-FAR-UQ-999-19025-N,1,"3/16"" Dia 0.126-.0250"" Grip Range Aluminum Rivet",,EA,Nor,P,FAS010,5,HWARE,PG,41025,Fastenal,16.78
1.2.3,    P-PFD-ZZ-999-50300,1,"1/2"" x 3.00"" Positive Lock Pin",,EA,Nor,P,PIV010,5,HWARE,EA,PL8-3000,Pivot Point,5.42
1.2.4,    P-QSQ-KB-999-00001,1,6 SS Wire Rope Lanyard,,EA,Nor,P,PIV010,5,HWARE,EA,ARING1-47BNS1-P,Pivot Point,7.8
1.3,  A-VAQ-TB-001-00859,1,FAST ROPE TOP HOOP ASSEMBLY,,EA,Nor,M,PAT003,3,P3E,EA,,Patriot3,
1.3.1,    A-WAQ-AB-001-00650,1,FAST TOWER TOP-MARS,,EA,NOR,P,FAB010,3,P3E,EA,WD1650,Fab Tech,
1.3.1.1,      F-DAP-UQ-001-00082,1,FAST TOP MOUNTING PLATE,,EA,PHT,F,FAB010,3,P3E,EA,AP1082,Fab Tech,
1.3.1.2,      F-DAS-UQ-001-00377,1,FAST TOP BRACE,,EA,PHT,F,FAB010,3,P3E,EA,AS1377,Fab Tech,
1.3.1.3,      F-DAT-UQ-001-00130,1,FAST TOWER TOP HOOP-MARS,,EA,PHT,F,FAB010,3,P3E,EA,AT1130,Fab Tech,
1.3.1.4,      F-DAT-UQ-001-00131,1,FAST TOP BRACE PIPE,,EA,PHT,F,FAB010,3,P3E,EA,AT1131,Fab Tech,
1.3.2,    A-WSQ-SQ-001-00651,2,FAST CABLE MOUNT,,EA,NOR,P,FAB010,3,P3E,EA,WD1651,Fab Tech,
